d;omega;npp;sdmu;mu_a_bel;mu_b_bel;mu_a_brav;mu_b_brav;init_belligerence;init_bravery;time_step;mean_a_bel;mean_b_bel;mean_belligerence;mean_a_brav;mean_b_brav;mean_bravery;var_a_bel;var_b_bel;var_belligerence;var_a_brav;var_b_brav;var_bravery;n_escalated_contests;global_fecundity_total;file
0.9;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.118694;0;0.118694;0.0564558;0;0.0564558;0.00648699;0;0.00648699;0.0054826;0;0.0054826;119;4995.37;./sim_stress_06_08_2023_17324836
0.9;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.124397;0;0.124397;0.0258303;0;0.0258303;0.00589434;0;0.00589434;0.0101267;0;0.0101267;104;4994.85;./sim_stress_06_08_2023_17324837
0.9;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.111937;0;0.111937;0.0469036;0;0.0469036;0.00279907;0;0.00279907;0.00617833;0;0.00617833;93;4997.2;./sim_stress_06_08_2023_17324838
0.9;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;-0.0863041;0;-0.0863041;-0.112756;0;-0.112756;0.00919434;0;0.00919434;0.00295077;0;0.00295077;1;4995.52;./sim_stress_06_08_2023_17324839
0.9;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;-0.0476284;0;-0.0476284;0.0177864;0;0.0177864;0.00486416;0;0.00486416;0.00756463;0;0.00756463;0;4998.56;./sim_stress_06_08_2023_17324840
0.9;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.0538363;0;0.0538363;-0.0445451;0;-0.0445451;0.00661045;0;0.00661045;0.00286237;0;0.00286237;56;4998.7;./sim_stress_06_08_2023_17324841
0.1;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.438196;0;0.438196;0.549738;0;0.549738;0.00191126;0;0.00191126;0.00107761;0;0.00107761;370;4357.38;./sim_stress_06_08_2023_17324842
0.1;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.511206;0;0.511206;0.402438;0;0.402438;0.00165005;0;0.00165005;0.00152601;0;0.00152601;383;4515.95;./sim_stress_06_08_2023_17324843
0.1;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.42241;0;0.42241;0.518412;0;0.518412;0.00221156;0;0.00221156;0.00106832;0;0.00106832;340;4470.38;./sim_stress_06_08_2023_17324844
0.1;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.471179;0;0.471179;0.374174;0;0.374174;0.001464;0;0.001464;0.00382787;0;0.00382787;358;4634.13;./sim_stress_06_08_2023_17324845
0.1;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.389342;0;0.389342;0.478283;0;0.478283;0.00116139;0;0.00116139;0.00125519;0;0.00125519;341;4616.13;./sim_stress_06_08_2023_17324846
0.1;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.434893;0;0.434893;0.332281;0;0.332281;0.00102594;0;0.00102594;0.0010758;0;0.0010758;357;4753.93;./sim_stress_06_08_2023_17324847
0.1;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.330354;0;0.330354;0.415623;0;0.415623;0.00217816;0;0.00217816;0.0022027;0;0.0022027;280;4775.66;./sim_stress_06_08_2023_17324848
0.1;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.358219;0;0.358219;0.263811;0;0.263811;0.00236316;0;0.00236316;0.00268235;0;0.00268235;289;4879.59;./sim_stress_06_08_2023_17324849
0.1;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.257606;0;0.257606;0.281507;0;0.281507;0.00221104;0;0.00221104;0.00200729;0;0.00200729;227;4937.91;./sim_stress_06_08_2023_17324850
0.1;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.324784;0;0.324784;0.209876;0;0.209876;0.00115954;0;0.00115954;0.00290779;0;0.00290779;296;4926.62;./sim_stress_06_08_2023_17324851
0.1;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.193474;0;0.193474;0.195458;0;0.195458;0.00313662;0;0.00313662;0.00416585;0;0.00416585;178;4977.85;./sim_stress_06_08_2023_17324852
0.1;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.232161;0;0.232161;0.113302;0;0.113302;0.00302444;0;0.00302444;0.00539452;0;0.00539452;203;4977.06;./sim_stress_06_08_2023_17324853
0.1;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.147946;0;0.147946;0.0949061;0;0.0949061;0.0044222;0;0.0044222;0.0068463;0;0.0068463;163;4992.31;./sim_stress_06_08_2023_17324854
0.1;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.211935;0;0.211935;0.112909;0;0.112909;0.00376467;0;0.00376467;0.00530087;0;0.00530087;179;4982.34;./sim_stress_06_08_2023_17324855
0.5;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.233923;0;0.233923;0.227409;0;0.227409;0.00172734;0;0.00172734;0.00189781;0;0.00189781;218;4965.94;./sim_stress_06_08_2023_17324856
0.5;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.284598;0;0.284598;0.175901;0;0.175901;0.00213068;0;0.00213068;0.00193787;0;0.00193787;264;4953.92;./sim_stress_06_08_2023_17324857
0.5;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.246688;0;0.246688;0.254428;0;0.254428;0.0038304;0;0.0038304;0.00195947;0;0.00195947;225;4950.36;./sim_stress_06_08_2023_17324858
0.5;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.295929;0;0.295929;0.202549;0;0.202549;0.00165014;0;0.00165014;0.00318096;0;0.00318096;262;4946.19;./sim_stress_06_08_2023_17324859
0.5;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.215784;0;0.215784;0.241446;0;0.241446;0.00269396;0;0.00269396;0.00194467;0;0.00194467;207;4965.13;./sim_stress_06_08_2023_17324860
0.5;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.277698;0;0.277698;0.13639;0;0.13639;0.00226098;0;0.00226098;0.00226048;0;0.00226048;229;4961.97;./sim_stress_06_08_2023_17324861
0.5;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.169731;0;0.169731;0.173627;0;0.173627;0.00318899;0;0.00318899;0.00338163;0;0.00338163;152;4984.76;./sim_stress_06_08_2023_17324862
0.5;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.224028;0;0.224028;0.148725;0;0.148725;0.0027016;0;0.0027016;0.00483741;0;0.00483741;212;4977.95;./sim_stress_06_08_2023_17324863
0.5;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.120007;0;0.120007;0.077246;0;0.077246;0.0034205;0;0.0034205;0.00444553;0;0.00444553;113;4995.93;./sim_stress_06_08_2023_17324864
0.5;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.179478;0;0.179478;0.0396552;0;0.0396552;0.0032068;0;0.0032068;0.00691196;0;0.00691196;170;4990.94;./sim_stress_06_08_2023_17324865
0.5;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.0743481;0;0.0743481;0.0928332;0;0.0928332;0.00405009;0;0.00405009;0.00900616;0;0.00900616;74;4996.43;./sim_stress_06_08_2023_17324866
